Solicitação;UsuarioSolicit;Etapa;Item;Descrição;Comprador;Solicitação;DtAprovSol;Entrega;Qt.Solicitada;PrUnitSol;VlSolicitacao;Qt.Recebida;Saldo;Pedido;Dt.Pedido;Ordem;Fornec;Nome Abreviado;Pre‡o Unit rio;Vlr Total;DtAprovPedido;Estado;Sit.Ordem;Dt.Receb;Aprovador
108.991;2511_matheus;09_PEDIDO_FOR;651300118;PINO EXTRATOR Ø10 X 160 MM;irineu;12/03/2025;14/03/2025;01/05/2025;10;34,64;346,4;0;10;82.471;18/03/2025;194.236;1106;CAROLFIX;40,46;404,6;21/03/2025;Aprovada;Confirmada;;clayton
108.992;2303_roberto;08_IMPRIMIR;701160002;ALARGADOR EXPANSIVO PCD 6C CRI CC Ø26 X 85;irineu;12/03/2025;14/03/2025;04/07/2025;1;4.300,00;4.300,00;0;1;82.709;08/04/2025;194.237;1222;NIPO TEC;5.578,00;5.578,00;;Nao Aprovada;Confirmada;;clayton
108.996;2439_luiz;10_RECEBIDA;801040247;MANGOTE DE SEGURANCA;irineu;13/03/2025;13/03/2025;22/03/2025;30;9,96;298,8;30;0;73.133;22/03/2022;194.189;3500;PISEBEMLOG;25;750;;Aprovada;Recebida;20/03/2025;2439_luiz
108.996;2439_luiz;10_RECEBIDA;801020001;AVENTAL PVC PRETO;irineu;13/03/2025;13/03/2025;22/03/2025;20;18,76;375,2;20;0;73.133;22/03/2022;194.190;3500;PISEBEMLOG;18,76;375,2;;Aprovada;Recebida;20/03/2025;2439_luiz
108.996;2439_luiz;10_RECEBIDA;801030360;BOTINA SEGURANÇA SUPERSAFETY C/ELÁSTICO BICO COMPOSITE Nº 37;Irineu;13/03/2025;13/03/2025;31/03/2025;3;90;270;3;0;76.958;25/05/2023;194.191;5727;SUPER SAFETY;98,9;296,7;;Aprovada;Recebida;24/03/2025;2439_luiz
108.997;2372_mauro;12_ELIMINADA;211260328;TUBO AÇO K2K HONDA;miriam;13/03/2025;14/03/2025;15/04/2025;300;107;32.100,00;0;300;82.454;14/03/2025;194.227;6182;HONDA TRADIN;126,378;37.913,40;;Aprovada;Eliminada;;vinicius
108.997;2372_mauro;12_ELIMINADA;211260329;TUBO AÇO K3H HONDA;miriam;13/03/2025;14/03/2025;15/04/2025;300;1;300;0;300;82.454;14/03/2025;194.228;6182;HONDA TRADIN;131,4992;39.449,76;;Aprovada;Eliminada;;vinicius
109.002;estagiariomt;10_RECEBIDA;651310329;BUCHA DE FIXAÇÃO;irineu;13/03/2025;13/03/2025;14/03/2025;100;0,3;30;100;0;82.445;13/03/2025;194.192;1468;PIONEIRA;0,24;24;14/03/2025;Aprovada;Recebida;14/03/2025;2475_luciano
109.002;estagiariomt;10_RECEBIDA;651070946;PARAFUSO;irineu;13/03/2025;13/03/2025;14/03/2025;100;0,9;90;100;0;82.445;13/03/2025;194.193;1468;PIONEIRA;0,1498;14,98;14/03/2025;Aprovada;Recebida;14/03/2025;2475_luciano
109.002;estagiariomt;10_RECEBIDA;651310364;BROCA VIDEA CONCRETO;irineu;13/03/2025;13/03/2025;18/03/2025;1;3;3;1;0;82.470;18/03/2025;194.194;4614;BALAROTI MER;9,9;9,9;19/03/2025;Aprovada;Recebida;20/03/2025;2475_luciano
109.003;estagiariomt;01_SEM_OC;991010054;COMPONENTES DE SERVICO;Irineu;13/03/2025;;05/04/2025;1;670,8;670,8;0;1;0;;0;0;;670,8;0;;Não Aprovada;;;
109.004;estagiariomt;10_RECEBIDA;991010050;PS MANUTENCAO MAQUINAS E EQUIPAMENTOS;irineu;13/03/2025;14/03/2025;10/04/2025;1;1.965,40;1.965,40;1;0;82.458;14/03/2025;194.241;5836;AP-JSB;1.965,40;1.965,40;17/03/2025;Aprovada;Recebida;07/04/2025;2475_luciano
109.006;2439_luiz;10_RECEBIDA;801040293;AVENTAL DE RASPA DE COURO P/SOLDADOR - CA 10971;irineu;13/03/2025;13/03/2025;20/03/2025;5;44,8;224;5;0;73.133;22/03/2022;194.195;3500;PISEBEMLOG;44,8;224;;Aprovada;Recebida;20/03/2025;2439_luiz
109.007;jakeline;10_RECEBIDA;991100007;PS SERVIÇO MO TERCEIRIZADO;miriam;13/03/2025;14/03/2025;17/03/2025;1;5.037,66;5.037,66;1;0;82.455;14/03/2025;194.238;4507;GEMINI CTBA;5.037,66;5.037,66;18/03/2025;Aprovada;Recebida;18/03/2025;clayton
109.008;jakeline;10_RECEBIDA;991100007;PS SERVIÇO MO TERCEIRIZADO;miriam;13/03/2025;14/03/2025;17/03/2025;1;4.762,71;4.762,71;1;0;82.455;14/03/2025;194.239;4507;GEMINI CTBA;4.762,71;4.762,71;18/03/2025;Aprovada;Recebida;19/03/2025;clayton
109.009;2372_mauro;12_ELIMINADA;641020007;GRAXA RENOLIT FEP 2;miriam;13/03/2025;13/03/2025;13/03/2025;36;58,9798;2.123,27;0;36;82.436;13/03/2025;194.196;1128;CLEAN SOLU;71,06;2.558,16;;Aprovada;Eliminada;;2475_luciano
109.010;2522_josiane;10_RECEBIDA;991090020;PS SERVICO TREINAMENTO;irineu;13/03/2025;13/03/2025;12/04/2025;1;1.000,00;1.000,00;1;0;82.507;21/03/2025;194.197;5809;EBENEZERTUR;700;700;21/03/2025;Aprovada;Recebida;11/04/2025;2522_josiane
109.013;2522_josiane;10_RECEBIDA;991120024;PS SERVIÇOS GRAFICOS;irineu;13/03/2025;13/03/2025;19/04/2025;1;1.993,00;1.993,00;1;0;82.518;21/03/2025;194.198;4699;GRAFICA KING;1.993,00;1.993,00;28/03/2025;Aprovada;Recebida;03/04/2025;2522_josiane
109.014;2372_mauro;10_RECEBIDA;641030067;NITRATO DE SODIO;miriam;13/03/2025;13/03/2025;14/03/2025;75;15,189;1.139,18;75;0;82.437;13/03/2025;194.199;3476;BUSCHLE;18,3;1.372,50;13/03/2025;Aprovada;Recebida;14/03/2025;2475_luciano
109.024;2451_camile;10_RECEBIDA;991020126;PS SERVIÇOS DE AÇOES MOTIVACIONAIS;miriam;14/03/2025;14/03/2025;10/04/2025;6;179,9;1.079,40;6;0;82.469;18/03/2025;194.244;6342;UNIFIC;179,9;1.079,40;18/03/2025;Aprovada;Recebida;11/04/2025;evers
109.024;2451_camile;10_RECEBIDA;991020126;PS SERVIÇOS DE AÇOES MOTIVACIONAIS;miriam;14/03/2025;14/03/2025;10/04/2025;3;184,9;554,7;3;0;82.469;18/03/2025;194.245;6342;UNIFIC;184,9;554,7;18/03/2025;Aprovada;Recebida;11/04/2025;evers
109.024;2451_camile;10_RECEBIDA;991020126;PS SERVIÇOS DE AÇOES MOTIVACIONAIS;miriam;14/03/2025;14/03/2025;10/04/2025;5;179,9;899,5;5;0;82.469;18/03/2025;194.246;6342;UNIFIC;179,9;899,5;18/03/2025;Aprovada;Recebida;11/04/2025;evers
109.024;2451_camile;10_RECEBIDA;991020126;PS SERVIÇOS DE AÇOES MOTIVACIONAIS;miriam;14/03/2025;14/03/2025;10/04/2025;3;199,9;599,7;3;0;82.469;18/03/2025;194.247;6342;UNIFIC;199,9;599,7;18/03/2025;Aprovada;Recebida;11/04/2025;evers
109.032;2483_caio;10_RECEBIDA;651040951;DIESEL S-500;irineu;14/03/2025;14/03/2025;17/03/2025;250;6,45;1.612,50;250;0;82.451;14/03/2025;194.240;5069;NACIOPETRO;10,5;2.625,00;14/03/2025;Aprovada;Recebida;20/03/2025;2475_luciano
109.034;2511_matheus;10_RECEBIDA;701150065;ALARGADOR MD Ø10MM;irineu;14/03/2025;18/03/2025;14/04/2025;2;429,9;859,8;2;0;82.662;04/04/2025;194.282;5752;ART;494,9;989,8;04/04/2025;Aprovada;Recebida;15/04/2025;clayton
109.035;jakeline;09_PDACEITO_FOR;818220072;Dispositivo de Controle;miriam;14/03/2025;18/03/2025;05/05/2025;1;1.516,00;1.516,00;0;1;82.514;21/03/2025;194.310;4157;VALMO;1.440,20;1.440,20;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818460022;TAMPÃO LÂMINA 3±0,2;miriam;14/03/2025;18/03/2025;05/05/2025;1;600;600;0;1;82.511;21/03/2025;194.311;3457;KNOW-HOW;588;588;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818510006;TAMPÃO LISO Ø 8,5+0,4;miriam;14/03/2025;18/03/2025;05/05/2025;1;475;475;0;1;82.514;21/03/2025;194.312;4157;VALMO;452,25;452,25;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;10_RECEBIDA;818530001;Tampão Roscado  M10X1,0;miriam;14/03/2025;18/03/2025;11/04/2025;1;530;530;1;0;82.485;19/03/2025;194.313;6192;CALIBRATOOLS;498;498;20/03/2025;Aprovada;Recebida;03/04/2025;fabioa
109.035;jakeline;10_RECEBIDA;818530020;Tampão Roscado  M8X1,25;miriam;14/03/2025;18/03/2025;11/04/2025;1;530;530;1;0;82.485;19/03/2025;194.314;6192;CALIBRATOOLS;498;498;20/03/2025;Aprovada;Recebida;03/04/2025;fabioa
109.035;jakeline;09_PDACEITO_FOR;818220072;Dispositivo de Controle;miriam;14/03/2025;18/03/2025;05/05/2025;1;520;520;0;1;82.511;21/03/2025;194.315;3457;KNOW-HOW;510;510;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818370006;OGIVA Ø30,3 -0,058 -0,100;miriam;14/03/2025;18/03/2025;05/05/2025;1;2.840,00;2.840,00;0;1;82.514;21/03/2025;194.316;4157;VALMO;2.698,00;2.698,00;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818510007;TAMPÃO LISO  Ø32,3 +0,1;miriam;14/03/2025;18/03/2025;05/05/2025;1;532;532;0;1;82.514;21/03/2025;194.317;4157;VALMO;505,4;505,4;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818510216;TAMPÃO LISO;miriam;14/03/2025;18/03/2025;05/05/2025;1;740;740;0;1;82.511;21/03/2025;194.318;3457;KNOW-HOW;726;726;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818220072;Dispositivo de Controle;miriam;14/03/2025;18/03/2025;05/05/2025;1;2.490,00;2.490,00;0;1;82.511;21/03/2025;194.319;3457;KNOW-HOW;2.440,00;2.440,00;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818220010;DISPOSITIVO DE CONTROLE 116±0,3;miriam;14/03/2025;18/03/2025;05/05/2025;1;1.618,00;1.618,00;0;1;82.514;21/03/2025;194.320;4157;VALMO;1.537,10;1.537,10;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818220011;DISPOSITIVO DE CONTROLE 52±0,2;miriam;14/03/2025;18/03/2025;05/05/2025;1;2.413,00;2.413,00;0;1;82.511;21/03/2025;194.321;3457;KNOW-HOW;2.365,00;2.365,00;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818220072;Dispositivo de Controle;miriam;14/03/2025;18/03/2025;05/05/2025;1;1.412,00;1.412,00;0;1;82.514;21/03/2025;194.322;4157;VALMO;1.341,40;1.341,40;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818220007;DISPOSITIVO DE CONTROLE POSIÇÃO0,3 MM;miriam;14/03/2025;18/03/2025;05/05/2025;1;3.060,00;3.060,00;0;1;82.511;21/03/2025;194.323;3457;KNOW-HOW;2.999,00;2.999,00;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818220008;DISPOSITIVO DE CONTROLE POSIÇÃO 0,3/H/G MM;miriam;14/03/2025;18/03/2025;05/05/2025;1;2.660,00;2.660,00;0;1;82.514;21/03/2025;194.324;4157;VALMO;2.527,00;2.527,00;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818240142;DISPOSITIVO DE MEDIÇÃO (EMPENAMENTO);miriam;14/03/2025;18/03/2025;05/05/2025;1;5.700,00;5.700,00;0;1;82.511;21/03/2025;194.325;3457;KNOW-HOW;5.586,00;5.586,00;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;10_RECEBIDA;818130003;ANEL ROSCADO PÑP;miriam;14/03/2025;18/03/2025;31/03/2025;1;535;535;1;0;82.485;19/03/2025;194.326;6192;CALIBRATOOLS;502;502;20/03/2025;Aprovada;Recebida;27/03/2025;fabioa
109.035;jakeline;10_RECEBIDA;818130003;ANEL ROSCADO PÑP;miriam;14/03/2025;18/03/2025;31/03/2025;1;535;535;1;0;82.485;19/03/2025;194.327;6192;CALIBRATOOLS;502;502;20/03/2025;Aprovada;Recebida;27/03/2025;fabioa
109.035;jakeline;10_RECEBIDA;818130003;ANEL ROSCADO PÑP;miriam;14/03/2025;18/03/2025;31/03/2025;1;535;535;1;0;82.485;19/03/2025;194.328;6192;CALIBRATOOLS;606;606;20/03/2025;Aprovada;Recebida;27/03/2025;fabioa
109.035;jakeline;10_RECEBIDA;818130003;ANEL ROSCADO PÑP;miriam;14/03/2025;18/03/2025;31/03/2025;1;645;645;1;0;82.485;19/03/2025;194.329;6192;CALIBRATOOLS;606;606;20/03/2025;Aprovada;Recebida;27/03/2025;fabioa
109.035;jakeline;09_PDACEITO_FOR;818510008;TAMPÃO LISO Ø18,7 +0,4;miriam;14/03/2025;18/03/2025;05/05/2025;1;490;490;0;1;82.514;21/03/2025;194.330;4157;VALMO;465,5;465,5;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818240006;DISPOSITIVO DE MEDIÇÃO DIÂMETROS TUBO HONDA;miriam;14/03/2025;18/03/2025;05/05/2025;1;15.750,00;15.750,00;0;1;82.514;21/03/2025;194.331;4157;VALMO;14.962,50;14.962,50;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818510009;TAMPÃO LISO Ø19,8 +0,6;miriam;14/03/2025;18/03/2025;05/05/2025;1;700;700;0;1;82.511;21/03/2025;194.332;3457;KNOW-HOW;686;686;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818510216;TAMPÃO LISO;miriam;14/03/2025;18/03/2025;05/05/2025;1;516;516;0;1;82.514;21/03/2025;194.333;4157;VALMO;490,2;490,2;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;09_PDACEITO_FOR;818220005;DISPOSITIVO DE CONTROLE ALTURA 237±0,3;miriam;14/03/2025;18/03/2025;05/05/2025;1;2.080,00;2.080,00;0;1;82.511;21/03/2025;194.334;3457;KNOW-HOW;2.039,00;2.039,00;25/03/2025;Aprovada;Confirmada;;fabioa
109.035;jakeline;10_RECEBIDA;818240130;RELÓGIO COMPARADOR DIGITAL COM SET.;miriam;14/03/2025;18/03/2025;10/04/2025;6;2.800,00;16.800,00;6;0;82.525;24/03/2025;194.335;2543;MEDE;2.188,00;13.128,00;25/03/2025;Aprovada;Recebida;03/04/2025;fabioa
109.035;jakeline;10_RECEBIDA;641060007;RELOGIO COMPARADOR DIGITAL;miriam;14/03/2025;18/03/2025;10/04/2025;2;1.000,00;2.000,00;2;0;82.525;24/03/2025;194.336;2543;MEDE;923;1.846,00;25/03/2025;Aprovada;Recebida;03/04/2025;fabioa
109.036;jakeline;10_RECEBIDA;818530020;Tampão Roscado  M8X1,25;miriam;14/03/2025;18/03/2025;11/04/2025;1;530;530;1;0;82.485;19/03/2025;194.337;6192;CALIBRATOOLS;498;498;20/03/2025;Aprovada;Recebida;03/04/2025;fabioa
109.036;jakeline;10_RECEBIDA;818530019;Tampão Roscado  M6X1,0;miriam;14/03/2025;18/03/2025;11/04/2025;1;530;530;1;0;82.485;19/03/2025;194.338;6192;CALIBRATOOLS;498;498;20/03/2025;Aprovada;Recebida;03/04/2025;fabioa
109.036;jakeline;10_RECEBIDA;818130003;ANEL ROSCADO PÑP;miriam;14/03/2025;18/03/2025;31/03/2025;1;535;535;1;0;82.485;19/03/2025;194.339;6192;CALIBRATOOLS;502;502;20/03/2025;Aprovada;Recebida;27/03/2025;fabioa
109.036;jakeline;10_RECEBIDA;818130003;ANEL ROSCADO PÑP;miriam;14/03/2025;18/03/2025;31/03/2025;1;535;535;1;0;82.485;19/03/2025;194.340;6192;CALIBRATOOLS;502;502;20/03/2025;Aprovada;Recebida;27/03/2025;fabioa
109.036;jakeline;10_RECEBIDA;818130003;ANEL ROSCADO PÑP;miriam;14/03/2025;18/03/2025;31/03/2025;1;645;645;1;0;82.485;19/03/2025;194.341;6192;CALIBRATOOLS;606;606;20/03/2025;Aprovada;Recebida;27/03/2025;fabioa
109.036;jakeline;10_RECEBIDA;818130003;ANEL ROSCADO PÑP;miriam;14/03/2025;18/03/2025;31/03/2025;1;645;645;1;0;82.485;19/03/2025;194.342;6192;CALIBRATOOLS;606;606;20/03/2025;Aprovada;Recebida;27/03/2025;fabioa
109.036;jakeline;09_PDACEITO_FOR;818460022;TAMPÃO LÂMINA 3±0,2;miriam;14/03/2025;18/03/2025;05/05/2025;1;600;600;0;1;82.511;21/03/2025;194.343;3457;KNOW-HOW;589;589;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818510216;TAMPÃO LISO;miriam;14/03/2025;18/03/2025;05/05/2025;1;519;519;0;1;82.514;21/03/2025;194.344;4157;VALMO;493,05;493,05;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818370004;OGIVA;miriam;14/03/2025;18/03/2025;05/05/2025;1;2.820,00;2.820,00;0;1;82.514;21/03/2025;194.345;4157;VALMO;2.679,00;2.679,00;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818510216;TAMPÃO LISO;miriam;14/03/2025;18/03/2025;05/05/2025;1;680;680;0;1;82.514;21/03/2025;194.346;4157;VALMO;646;646;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818220113;DISPOSITIVO DE CONTROLE  26,00+0,2;miriam;14/03/2025;18/03/2025;05/05/2025;1;2.440,00;2.440,00;0;1;82.511;21/03/2025;194.347;3457;KNOW-HOW;2.392,00;2.392,00;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818220007;DISPOSITIVO DE CONTROLE POSIÇÃO0,3 MM;miriam;14/03/2025;18/03/2025;05/05/2025;1;3.192,00;3.192,00;0;1;82.514;21/03/2025;194.348;4157;VALMO;3.032,40;3.032,40;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818220013;DISPOSITIVO DE CONTROLE 24±0,2;miriam;14/03/2025;18/03/2025;05/05/2025;1;1.412,00;1.412,00;0;1;82.514;21/03/2025;194.349;4157;VALMO;1.341,40;1.341,40;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818220072;Dispositivo de Controle;miriam;14/03/2025;18/03/2025;05/05/2025;1;1.590,00;1.590,00;0;1;82.511;21/03/2025;194.350;3457;KNOW-HOW;1.559,00;1.559,00;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818220072;Dispositivo de Controle;miriam;14/03/2025;18/03/2025;05/05/2025;1;2.512,00;2.512,00;0;1;82.514;21/03/2025;194.351;4157;VALMO;2.386,40;2.386,40;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818220072;Dispositivo de Controle;miriam;14/03/2025;18/03/2025;05/05/2025;1;1.215,00;1.215,00;0;1;82.514;21/03/2025;194.352;4157;VALMO;1.154,25;1.154,25;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818220072;Dispositivo de Controle;miriam;14/03/2025;18/03/2025;05/05/2025;1;1.516,00;1.516,00;0;1;82.514;21/03/2025;194.353;4157;VALMO;1.440,20;1.440,20;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818220072;Dispositivo de Controle;miriam;14/03/2025;18/03/2025;05/05/2025;1;1.880,00;1.880,00;0;1;82.511;21/03/2025;194.354;3457;KNOW-HOW;1.843,00;1.843,00;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;09_PDACEITO_FOR;818510216;TAMPÃO LISO;miriam;14/03/2025;18/03/2025;05/05/2025;1;588;588;0;1;82.511;21/03/2025;194.355;3457;KNOW-HOW;578;578;25/03/2025;Aprovada;Confirmada;;fabioa
109.036;jakeline;10_RECEBIDA;818240130;RELÓGIO COMPARADOR DIGITAL COM SET.;miriam;14/03/2025;18/03/2025;10/04/2025;2;2.800,00;5.600,00;2;0;82.525;24/03/2025;194.356;2543;MEDE;2.188,00;4.376,00;25/03/2025;Aprovada;Recebida;03/04/2025;fabioa
109.037;2483_caio;10_RECEBIDA;991010054;COMPONENTES DE SERVICO;miriam;14/03/2025;14/03/2025;25/03/2025;2;1.600,00;3.200,00;2;0;82.521;24/03/2025;194.242;4445;MECFLUX;1.591,91;3.183,82;26/03/2025;Aprovada;Recebida;31/03/2025;2475_luciano
109.039;2439_luiz;09_PEDIDO_FOR;801010103;CALCA BRIM G (46/48);irineu;14/03/2025;14/03/2025;24/04/2025;20;49,8;996;0;20;82.464;17/03/2025;194.248;5863;ALIANCAUNIFO;60;1.200,00;21/03/2025;Aprovada;Confirmada;;2439_luiz
109.039;2439_luiz;09_PEDIDO_FOR;801010241;CAMISA POLO PRETA G;irineu;14/03/2025;14/03/2025;24/04/2025;20;49,717;994,34;0;20;82.464;17/03/2025;194.249;5863;ALIANCAUNIFO;59,9;1.198,00;21/03/2025;Aprovada;Confirmada;;2439_luiz
109.040;2511_matheus;10_RECEBIDA;372150021;AÇO VMO 210 X 210 X 160;irineu;14/03/2025;18/03/2025;16/04/2025;1;2.230,82;2.230,82;1;0;82.508;21/03/2025;194.283;4771;VILLARES MET;2.230,20;2.230,20;02/04/2025;Aprovada;Recebida;17/04/2025;clayton
109.040;2511_matheus;10_RECEBIDA;372150022;AÇO VMO 210 X 210 X 120;irineu;14/03/2025;18/03/2025;16/04/2025;1;1.671,10;1.671,10;1;0;82.508;21/03/2025;194.284;4771;VILLARES MET;1.671,10;1.671,10;02/04/2025;Aprovada;Recebida;17/04/2025;clayton
109.040;2511_matheus;10_RECEBIDA;372150021;AÇO VMO 210 X 210 X 160;irineu;14/03/2025;18/03/2025;16/04/2025;1;2.230,82;2.230,82;1;0;82.508;21/03/2025;194.285;4771;VILLARES MET;2.230,20;2.230,20;02/04/2025;Aprovada;Recebida;17/04/2025;clayton
109.040;2511_matheus;10_RECEBIDA;372150022;AÇO VMO 210 X 210 X 120;irineu;14/03/2025;18/03/2025;16/04/2025;1;1.671,10;1.671,10;1;0;82.508;21/03/2025;194.286;4771;VILLARES MET;1.671,10;1.671,10;02/04/2025;Aprovada;Recebida;17/04/2025;clayton
109.040;2511_matheus;10_RECEBIDA;372150021;AÇO VMO 210 X 210 X 160;irineu;14/03/2025;18/03/2025;16/04/2025;2;2.230,82;4.461,64;2;0;82.508;21/03/2025;194.287;4771;VILLARES MET;2.230,20;4.460,40;02/04/2025;Aprovada;Recebida;17/04/2025;clayton
109.044;2303_roberto;09_PDACEITO_FOR;701810018;SERRA CIRC. SC INFINIT ALU 500 X 3,0 X 3,5 X 25,4 X 108Z;Irineu;14/03/2025;18/03/2025;05/05/2025;1;1.700,93;1.700,93;0;1;55.647;29/11/2017;194.288;1519;SUL CORTE;2.054,85;2.054,85;;Aprovada;Confirmada;;clayton
109.044;2303_roberto;09_PDACEITO_FOR;701810033;SERRA CIRC. SC INFINIT ALU 460 X 2,27 X 2,7 X 25,4 X 100Z;Irineu;14/03/2025;18/03/2025;06/06/2025;1;1.550,00;1.550,00;0;1;55.647;29/11/2017;194.289;1519;SUL CORTE;2.007,19;2.007,20;;Aprovada;Confirmada;;clayton
109.045;2522_josiane;09_PEDIDO_FOR;991010003;MATERIAIS PRIMEIROS SOCORROS/EPI´S;irineu;14/03/2025;14/03/2025;01/05/2025;1;339;339;0;1;82.741;10/04/2025;194.263;6375;PWD;357,26;357,26;10/04/2025;Aprovada;Confirmada;;2522_josiane
109.046;2303_roberto;10_RECEBIDA;701810020-AS;PS SERRA Ø300 1,8 X 2,2 X 72 Z PLATE/ HOLLOW - AFIACAO;irineu;14/03/2025;18/03/2025;01/04/2025;2;78;156;2;0;58.282;11/07/2018;194.290;4342;GRINDER;78;156;;Aprovada;Recebida;27/03/2025;clayton
109.046;2303_roberto;10_RECEBIDA;701810020-PS;PS SERRA Ø300 1,8 X 2,2 X 72 Z PLATE/ HOLLOW - PREENCHIMENTO;irineu;14/03/2025;18/03/2025;01/04/2025;7;57;399;7;0;58.282;11/07/2018;194.291;4342;GRINDER;57;399;;Aprovada;Recebida;27/03/2025;clayton
109.046;2303_roberto;10_RECEBIDA;701810020-TS;PS SERRA Ø300 1,8 X 2,2X72Z PLATE/HOLLOW - TROCA DE PASTILHA;irineu;14/03/2025;18/03/2025;01/04/2025;1;387;387;1;0;58.282;11/07/2018;194.292;4342;GRINDER;387;387;;Aprovada;Recebida;27/03/2025;clayton
109.046;2303_roberto;10_RECEBIDA;701810020-IS;PS SERRA Ø300 1,8 X 2,2X72Z PLATE/HOLLOW - TROCA PARCIAL;irineu;14/03/2025;18/03/2025;01/04/2025;22;10,2;224,4;22;0;58.282;11/07/2018;194.293;4342;GRINDER;10,2;224,4;;Aprovada;Recebida;27/03/2025;clayton
109.046;2303_roberto;10_RECEBIDA;701810001-TS;PS SERRA COPO SWASH PLATE Ø40.8 - TROCA DE PASTILHA;irineu;14/03/2025;18/03/2025;01/04/2025;3;398;1.194,00;3;0;58.282;11/07/2018;194.294;4342;GRINDER;398;1.194,00;;Aprovada;Recebida;27/03/2025;clayton
109.048;2303_roberto;09_PEDIDO_FOR;701060937;BROCA MD 2C HEL SRI Ø2,5 X 7 X Ø8 X 95  (701820066);irineu;14/03/2025;18/03/2025;22/04/2025;2;249,45;498,9;0;2;82.526;24/03/2025;194.295;4217;GR DRILL;262,4214;524,8428;27/03/2025;Aprovada;Confirmada;;clayton
109.048;2303_roberto;09_PEDIDO_FOR;701060936;BROCA MD 2C HEL SRI Ø9 X 11,26 X Ø15,025 X 95 (701820066);irineu;14/03/2025;18/03/2025;22/04/2025;2;744,16;1.488,32;0;2;82.526;24/03/2025;194.296;4217;GR DRILL;782,8563;1.565,71;27/03/2025;Aprovada;Confirmada;;clayton
109.053;2511_matheus;09_PEDIDO_FOR;881960251tt;PS TT SUPORTE P/ BASE UNIVERSAL P/ POSTIÇO SOLDA - PISTÃO;irineu;17/03/2025;18/03/2025;24/04/2025;4;52,5;210;0;4;82.523;24/03/2025;194.297;3057;NORMATIC SJP;52,5;210;10/04/2025;Aprovada;Confirmada;;clayton
109.058;2483_caio;10_RECEBIDA;991010050;PS MANUTENCAO MAQUINAS E EQUIPAMENTOS;irineu;17/03/2025;17/03/2025;31/03/2025;2;1.500,00;3.000,00;2;0;82.460;17/03/2025;194.264;1101;CALMON;1.500,00;3.000,00;17/03/2025;Aprovada;Recebida;21/03/2025;2475_luciano
109.058;2483_caio;10_RECEBIDA;991010050;PS MANUTENCAO MAQUINAS E EQUIPAMENTOS;irineu;17/03/2025;17/03/2025;31/03/2025;2;800;1.600,00;2;0;82.460;17/03/2025;194.265;1101;CALMON;800;1.600,00;17/03/2025;Aprovada;Recebida;21/03/2025;2475_luciano
